Barbie (I) (2023),"Adventure, Comedy, Fantasy",Barbie suffers a crisis that leads her to question her world and her existence.
Nine 1/2 Weeks (1986),"Drama, Romance",A woman becomes involved with a man she barely knows. Complications develop during their sexual escapades.
Body Heat (1981),"Crime, Drama, Romance","In the midst of a searing Florida heat wave, a woman persuades her lover, a small-town lawyer, to murder her rich husband."
Frida (2002),"Biography, Drama, Romance","A biography of artistFrida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work."
National Lampoon's Van Wilder (2002),"Comedy, Romance",The most popular kid on campus meets a beautiful journalist who makes him realize that maybe he's afraid to graduate.
Ever After (1998),"Comedy, Drama, Romance","The Brothers Grimm arrive at the home of a wealthy Grande Dame who speaks of the many legends surrounding the fable of the cinder girl before telling the ""true"" story of her ancestor."
Spin Me Round (2022),"Comedy, Romance","A woman wins an all-expenses-paid trip to a company's gorgeous ""institute"" outside of Florence, and also the chance to meet the restaurant chain's wealthy and charismatic owner. She finds a different adventure than the one she imagined."
20 ans d'écart (2013),"Comedy, Romance","Alice works for ""Rebelle"" magazine, where she needs to let her hair down to get a promotion. When Balthazar returns a lost USB to Alice, the appearance of dating someone half her age helps her. Does it get real?"
Rock of Ages (2012),"Comedy, Drama, Musical",A small-town girl and a city boy meet on the Sunset Strip while pursuing their Hollywood dreams.
Mike and Dave Need Wedding Dates (2016),"Comedy, Romance","Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo."
Flashdance (1983),"Drama, Music, Romance",A Pittsburgh woman with two jobs as a welder and an exotic dancer wants to get into ballet school.
Meet the Parents (2000),"Comedy, Romance","Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare."
Låt den rätte komma in (2008),"Drama, Fantasy, Horror","Oskar, an overlooked and bullied boy, finds love and revenge through Eli, a beautiful but peculiar girl."
Never Been Kissed (1999),"Comedy, Drama, Romance",A newspaper reporter enrolls in high school as part of research for a story.
The Hunchback of Notre Dame (1996),"Animation, Drama, Family","A deformed bell-ringer must assert his independence from a vicious government minister in order to help his friend, a gypsy dancer."
17 Again (2009),"Comedy, Drama, Fantasy",Mike O'Donnell is ungrateful for how his life turned out. He gets a chance to rewrite his life when he tried to save a janitor near a bridge and jumped after him into a time vortex.
Going the Distance (2010),"Comedy, Romance",A romantic comedy centered on a guy and a gal who try to keep their love alive as they shuttle back and forth between New York and San Francisco to see one another.
Eat Pray Love (2010),"Biography, Drama, Romance","A married woman realizes how unhappy her marriage really is, and that her life needs to go in a different direction. After a painful divorce, she takes off on a round-the-world journey to ""find herself""."
It Started with a Kiss (1959),"Comedy, Romance",A U.S. sergeant serving in Spain creates envy among his Air Force superiors and the Spanish locals when his brand new futuristic sports car and pretty wife arrive at the base.
Marie Antoinette (2006),"Biography, Drama, History","The retelling of France's iconic but ill-fated queen, Marie Antoinette. From her betrothal and marriage to Louis XVI at 14 to her reign as queen at 19 and to the end of her reign as queen, and ultimately the fall of Versailles."
Adrift (I) (2018),"Action, Adventure, Biography","A true story of survival, as a young couple's chance encounter leads them first to love, and then on the adventure of a lifetime as they face one of the most catastrophic hurricanes in recorded history."
Hot Summer Nights (2017),"Crime, Drama, Romance","In 1991, a sheltered teenage boy comes of age during a wild summer he spends on Cape Cod getting rich from selling pot to gangsters, falling in love for the first time, partying and eventually realizing that he is in over his head."
The Other Woman (2014),"Comedy, Romance","After discovering that her boyfriend is married, Carly meets the wife he's been betraying; when yet another affair is discovered, all three women team up to plot revenge on the three-timing S.O.B."
Fallen (II) (2016),"Drama, Fantasy, Romance","A young girl finds herself in a reform school after therapy since she was blamed for the death of a young boy. At the school she finds herself drawn to a fellow student, unaware that he is an angel, and has loved her for thousands of years."
In the Heights (2021),"Drama, Musical, Romance","A film version of the Broadway musical in which Usnavi, a sympathetic New York bodega owner, saves every penny every day as he imagines and sings about a better life."
Anna Karenina (I) (2012),"Drama, Romance","In late-19th-century Russian high society, St. Petersburg aristocrat Anna Karenina enters into a life-changing affair with the dashing Count Alexei Vronsky."
Entergalactic (2022),"Animation, Comedy, Music","Jabari, a charming, streetwear-clad artist on the cusp of real success. After a chance run-in with his cool new photographer neighbor, Meadow, Jabari has to figure out whether he can make space for love in his life."
Blue Crush (2002),"Drama, Romance, Sport","As a hard-core surfer girl prepares for a big competition, she finds herself falling for a football player."
Mr. Deeds (2002),"Comedy, Romance","A sweet-natured, small-town guy inherits a controlling stake in a media conglomerate and begins to do business his way."
"I Love You, Man (2009)","Comedy, Romance","Friendless Peter Klaven goes on a series of man-dates to find a Best Man for his wedding. But, when his insta-bond with his new B.F.F. puts a strain on his relationship with his fiancée, can the trio learn to live happily ever after?"
Doc Hollywood (1991),"Comedy, Drama, Romance",A young doctor on his way across the country to a job interview crashes his car in a small town and is sentenced to work for several days at the town hospital.
What Dreams May Come (1998),"Drama, Fantasy, Romance","Chris Nielsen dies in an accident, and enters Heaven. But when he discovers that his beloved wife Annie has killed herself out of grief over the loss, he embarks on an afterlife adventure to reunite with her."
Downton Abbey (2019),"Drama, Romance","The continuing story of the Crawley family, wealthy owners of a large estate in the English countryside in the early twentieth century."
The Bodyguard (1992),"Action, Drama, Music","A former Secret Service agent takes on the job of bodyguard to an R&B singer, whose lifestyle is most unlike a President's."
About a Boy (2002),"Comedy, Drama, Romance","Will, who attends single parent meetings to woo women, meets Marcus, a troubled 12-year-old boy. As they become friends, Will learns to be responsible while he helps Marcus with his studies."
Sideways (2004),"Comedy, Drama, Romance","Two men reaching middle age with not much to show but disappointment embark on a week-long road trip through California's wine country, just as one is about to take a trip down the aisle."
